Date,Location,Item Name,Item Type,Notes
2022-09-05,Chaos Sanctuary,Ort Rune,Rune,
2022-09-05,Chaos Sanctuary,Bladebuckle,Plated Belt,
2022-09-05,Chaos Sanctuary,Dol Rune,Rune,
2022-09-05,Chaos Sanctuary,Ort Rune,Rune,
2022-09-05,Chaos Sanctuary,Woestave,Halberd,
2022-09-05,Chaos Sanctuary,Bladebuckle,Plated Belt,
2022-09-05,Chaos Sanctuary,Sigon's Guard,Tower Shield,
2022-09-05,Chaos Sanctuary,Goreshovel,Broad Axe,
2022-09-05,Chaos Sanctuary,Vidala's Barb,Long Battle Bow,
2022-09-05,Chaos Sanctuary,Spellsteel,Bearded Axe,
2022-09-05,Chaos Sanctuary,Sol Rune,Rune,
2022-09-05,Chaos Sanctuary,Goreshovel,Broad Axe,
2022-09-05,Chaos Sanctuary,Demon Machine,Chu-Ko-Nu,
2022-09-05,Chaos Sanctuary,Goblin Toe,Light Plated Boots,
2022-09-05,Chaos Sanctuary,The Jade Tan Do,Kris,
2022-09-05,Chaos Sanctuary,Eth Rune,Rune,
2022-09-05,Chaos Sanctuary,Ral Rune,Rune,
2022-09-05,Chaos Sanctuary,Berserker's Hauberk,Splint Mail,
2022-09-05,Chaos Sanctuary,Sol Rune,Rune,
2022-09-05,Chaos Sanctuary,Milabrega's Rod,War Scepter,
2022-09-05,Chaos Sanctuary,Milabrega's Diadem,Crown,
2022-09-05,Chaos Sanctuary,Thul Rune,Rune,
2022-09-05,Chaos Sanctuary,Thul Rune,Rune,
2022-09-05,Chaos Sanctuary,Vidala's Snare,Amulet,
2022-09-05,Chaos Sanctuary,Cleglaw's Pincers,Chain Gloves,
2022-09-05,Ancient Tunnels,Ko Rune,Rune,
2022-09-05,Ancient Tunnels,Ral Rune,Rune,
2022-09-05,Ancient Tunnels,Ort Rune,Rune,
2022-09-05,Ancient Tunnels,Dol Rune,Rune,
2022-09-05,Ancient Tunnels,Isenhart's Parry,Gothic Shield,
2022-09-05,Ancient Tunnels,Immortal King's Stone Crusher,Ogre Maul,
2022-09-05,Ancient Tunnels,Hellplague,Long Sword,
2022-09-05,Ancient Tunnels,Amn Rune,Rune,
2022-09-05,Ancient Tunnels,Shael Rune,Rune,
2022-09-05,Ancient Tunnels,Sol Rune,Rune,
2022-09-05,Ancient Tunnels,Goreshovel,Broad Axe,
2022-09-05,Ancient Tunnels,Tir Rune,Rune,
2022-09-05,Ancient Tunnels,Sander's Taboo,Heavy Gloves,
2022-09-06,Ancient Tunnels,Tal Rune,Rune,
2022-09-06,Ancient Tunnels,The Jade Tan Do,Kris,
2022-09-06,Ancient Tunnels,Ort Rune,Rune,
2022-09-06,Ancient Tunnels,Eth Rune,Rune,
2022-09-06,Ancient Tunnels,Sol Rune,Rune,
2022-09-06,Ancient Tunnels,The Ward,Gothic Shield,
2022-09-07,Ancient Tunnels,Stormstrike,Short Battle Bow,
2022-09-06,Ancient Tunnels,Ith Rune,Rune,
2022-09-06,Ancient Tunnels,The General's Tan Do Li Ga,Flail,
2022-09-07,Ancient Tunnels,Ort Rune,Rune,
2022-09-07,Ancient Tunnels,Cathan's Seal,Ring,
2022-09-07,Ancient Tunnels,Sigon's Gage,Gauntlets,
2022-09-07,Ancient Tunnels,Amn Rune,Rune,
2022-09-07,Ancient Tunnels,Tal Rune,Rune,
2022-09-07,Ancient Tunnels,Ort Rune,Rune,
2022-09-07,Ancient Tunnels,Ral Rune,Rune,
2022-09-07,Ancient Tunnels,Tir Rune,Rune,
2022-09-07,Ancient Tunnels,Arachnid Mesh,Spiderweb Sash,
2022-09-07,Ancient Tunnels,Grim's Burning Dead,Grim Scythe,
2022-09-07,Ancient Tunnels,Bul-Kathos' Wedding Band,Ring,
2022-09-07,Ancient Tunnels,Eld Rune,Rune,
2022-09-07,Ancient Tunnels,Angelic Sickle,Saber,
2022-09-08,Ancient Tunnels,Guardian Angel,Templar Coat,
2022-09-08,Ancient Tunnels,Eth Rune,Rune,
2022-09-08,Ancient Tunnels,Cathan's Seal,Ring,
2022-09-08,Ancient Tunnels,Credendum,Mithril Coil,
2022-09-08,Ancient Tunnels,Thul Rune,Rune,
2022-09-08,Ancient Tunnels,Ironstone,War Hammer,
2022-09-08,Ancient Tunnels,M'avina's Tenet,Sharkskin Belt,
2022-09-08,Ancient Tunnels,Ral Rune,Rune,
2022-09-08,Ancient Tunnels,Amn Rune,Rune,
2022-09-08,Ancient Tunnels,Sol Rune,Rune,
2022-09-08,Ancient Tunnels,Shael Rune,Rune,
2022-09-08,Ancient Tunnels,Hotspur,Boots,
2022-09-08,Ancient Tunnels,The Scalper,Francisca,
2022-09-08,Ancient Tunnels,Tir Rune,Rune,
2022-09-08,Ancient Tunnels,Tir Rune,Rune,
2022-09-08,Ancient Tunnels,Hel Rune,Rune,
2022-09-08,Ancient Tunnels,Nef Rune,Rune,
2022-09-09,Ancient Tunnels,Ral Rune,Rune,
2022-09-09,Ancient Tunnels,Ith Rune,Rune,
2022-09-09,Ancient Tunnels,Tancred's Skull,Bone Helm,
2022-09-09,Ancient Tunnels,Sazabi's Mental Sheath,Basinet,
2022-09-09,Ancient Tunnels,Skin of the Vipermagi,Serpentskin Armor,
2022-09-09,Ancient Tunnels,Sander's Riprap,Heavy Boots,
2022-09-09,Ancient Tunnels,Sol Rune,Rune,
2022-09-09,Ancient Tunnels,Sol Rune,Rune,
2022-09-09,Ancient Tunnels,Thul Rune,Rune,
2022-09-09,Ancient Tunnels,Kinemil's Awl,Giant Sword,
2022-09-09,Ancient Tunnels,Ith Rune,Rune,
2022-09-10,Ancient Tunnels,Ort Rune,Rune,
2022-09-10,Ancient Tunnels,Bloodrise,Morning Star,
2022-09-10,Ancient Tunnels,Cleglaw's Tooth,Long Sword,
2022-09-10,Ancient Tunnels,Tal Rune,Rune,
2022-09-10,Ancient Tunnels,Ort Rune,Rune,
2022-09-10,Ancient Tunnels,Raven Frost,Ring,
2022-09-10,Ancient Tunnels,Sol Rune,Rune,
2022-09-10,Ancient Tunnels,Eth Rune,Rune,
2022-09-10,Ancient Tunnels,Amn Rune,Rune,
2022-09-10,Ancient Tunnels,Tir Rune,Rune,
2022-09-10,Ancient Tunnels,Mal Rune,Rune,
2022-09-10,Ancient Tunnels,Sol Rune,Rune,
2022-09-10,Ancient Tunnels,Trang-Oul's Scales,Chaos Armor,
2022-09-10,Ancient Tunnels,Coif of Glory,Helm,
2022-09-10,Ancient Tunnels,Azurewrath,Phase Blade,
2022-09-10,Ancient Tunnels,Ort Rune,Rune,
2022-09-10,Ancient Tunnels,Blood Crescent,Scimitar,
2022-09-10,Ancient Tunnels,Ith Rune,Rune,
2022-09-10,Ancient Tunnels,Dol Rune,Rune,
2022-09-10,Ancient Tunnels,Sander's Taboo,Heavy Gloves,
2022-09-10,Ancient Tunnels,Shadowfang,Two-Handed Sword,
2022-09-11,Ancient Tunnels,Ort Rune,Rune,
2022-09-11,Ancient Tunnels,Magnus' Skin,Sharkskin Gloves,
2022-09-11,Ancient Tunnels,Isenhart's Lightbrand,Broad Sword,
2022-09-11,Ancient Tunnels,Ral Rune,Rune,
2022-09-11,Ancient Tunnels,Serpent Lord,Long Staff,
2022-09-11,Ancient Tunnels,Arctic Horn,Short War Bow,
2022-09-11,Ancient Tunnels,Ort Rune,Rune,
2022-09-11,Ancient Tunnels,Berserker's Hatchet,Double Axe,
2022-09-11,Ancient Tunnels,Rune Master,Ettin Axe,
2022-09-11,Ancient Tunnels,Eth Rune,Rune,
2022-09-11,Ancient Tunnels,Berserker's Headgear,Helm,
2022-09-11,Ancient Tunnels,Hel Rune,Rune,
2022-09-11,Ancient Tunnels,Ral Rune,Rune,
2022-09-11,Ancient Tunnels,Ral Rune,Rune,
2022-09-11,Ancient Tunnels,Sol Rune,Rune,
2022-09-11,Ancient Tunnels,Tir Rune,Rune,
2022-09-11,Ancient Tunnels,Todesfaelle Flamme,Zweihander,
2022-09-11,Ancient Tunnels,Civerb's Ward,Large Shield,
2022-09-11,Ancient Tunnels,Sol Rune,Rune,
2022-09-11,Ancient Tunnels,Arioc's Needle,Hyperion Spear,
2022-09-11,Ancient Tunnels,Cleglaw's Pincers,Chain Gloves,
2022-09-11,Ancient Tunnels,Lum Rune,Rune,
2022-09-11,Ancient Tunnels,Death's Touch,War Sword,
2022-09-11,Ancient Tunnels,Ral Rune,Rune,
2022-09-11,Ancient Tunnels,Suicide Branch,Burnt Wand,
2022-09-11,Ancient Tunnels,Ral Rune,Rune,
2022-09-11,Ancient Tunnels,Thul Rune,Rune,
2022-09-11,Ancient Tunnels,Ort Rune,Rune,
2022-09-11,Ancient Tunnels,Vidala's Fetlock,Light Plated Boots,
2022-09-11,Ancient Tunnels,Ort Rune,Rune,
2022-09-11,Ancient Tunnels,Sol Rune,Rune,
2022-09-11,Ancient Tunnels,Messerschmidt's Reaver,Champion Axe,
2022-09-11,Ancient Tunnels,Cathan's Visage,Mask,
2022-09-11,Ancient Tunnels,Cleglaw's Pincers,Chain Gloves,
2022-09-11,Ancient Tunnels,Civerb's Ward,Large Shield,
2022-09-11,Ancient Tunnels,Tir Rune,Rune,
2022-09-11,Ancient Tunnels,Sol Rune,Rune,
2022-09-11,Ancient Tunnels,Eth Rune,Rune,
2022-09-12,Ancient Tunnels,Goldstrike Arch,Gothic Bow,
2022-09-12,Ancient Tunnels,Tal Rune,Rune,
2022-09-12,Ancient Tunnels,Tal Rune,Rune,
2022-09-12,Ancient Tunnels,Skull Splitter,Military Pick,
2022-09-12,Ancient Tunnels,Dol Rune,Rune,
2022-09-12,Ancient Tunnels,Shadowfang,Two-Handed Sword,
2022-09-12,Ancient Tunnels,Cathan's Visage,Mask,
2022-09-12,Ancient Tunnels,Tal Rune,Rune,
2022-09-12,Ancient Tunnels,Thul Rune,Rune,
2022-09-12,Ancient Tunnels,Io Rune,Rune,
2022-09-12,Ancient Tunnels,Humongous,Giant Axe,
2022-09-12,Ancient Tunnels,Skystrike,Edge Bow,
2022-09-12,Ancient Tunnels,Milabrega's Diadem,Crown,
2022-09-12,Ancient Tunnels,Hel Rune,Rune,
2022-09-13,Ancient Tunnels,Nef Rune,Rune,
2022-09-13,Ancient Tunnels,Baezil's Vortex,Knout,
2022-09-13,Ancient Tunnels,Haemosu's Adamant,Cuirass,
2022-09-13,Ancient Tunnels,Shael Rune,Rune,
2022-09-13,Ancient Tunnels,Herald of Zakarum,Gilded Shield,
2022-09-13,Ancient Tunnels,Ort Rune,Rune,
2022-09-14,Ancient Tunnels,Tal Rune,Rune,
2022-09-14,Ancient Tunnels,Shadowfang,Two-Handed Sword,
2022-09-14,Ancient Tunnels,Demon Limb,Tyrant Club,
2022-09-14,Ancient Tunnels,Amn Rune,Rune,
2022-09-14,Ancient Tunnels,Laying of Hands,Bramble Mitts,
2022-09-14,Ancient Tunnels,Culwen's Point,War Sword,
2022-09-14,Ancient Tunnels,Hellcast,Heavy Crossbow,
2022-09-14,Ancient Tunnels,Iratha's Cord,Heavy Belt,
2022-09-14,Tower Cellar Level 5,Tal Rune,Rune,
2022-09-14,Tower Cellar Level 5,Nef Rune,Rune,
2022-09-14,River of Flame,Thul Rune,Rune,Normal Forge
2022-09-14,Bloody Foothills,Vidala's Barb,Long Battle Bow,
2022-09-14,Tower Cellar Level 5,Tir Rune,Rune,
2022-09-14,River of Flame,Lum Rune,Rune,Nightmare Forge
2022-09-14,River of Flame,Iratha's Cord,Heavy Belt,
2022-09-14,Burial Grounds,Griswold's Edge,Broad Sword,
2022-09-14,Tower Cellar Level 5,Shael Rune,Rune,
2022-09-14,Tower Cellar Level 5,Cathan's Mesh,Chain Mail,
2022-09-14,Sewers Level 2,Sigon's Gage,Gauntlets,
2022-09-14,Spider Forest,Laying of Hands,Bramble Mitts,
2022-09-14,Ruined Templ,Shael Rune,Rune,
2022-09-15,River of Flame,Mal Rune,Rune,Hell Forge
2022-09-15,Chaos Sanctuary,Tal Rune,Rune,
2022-09-15,Chaos Sanctuary,Darkglow,Ring Mail,
2022-09-15,Chaos Sanctuary,Soulflay,Claymore,
2022-09-15,Ancient Tunnels,Tancred's Skull,Bone Helm,
2022-09-16,Chaos Sanctuary,Ral Rune,Rune,
2022-09-16,Chaos Sanctuary,Ith Rune,Rune,
2022-09-16,Chaos Sanctuary,Tir Rune,Rune,
2022-09-16,Lower Kurast,Ort Rune,Rune,
2022-09-16,Ancient Tunnels,Ko Rune,Rune,
2022-09-16,Ancient Tunnels,Hel Rune,Rune,
2022-09-16,Ancient Tunnels,Tal Rune,Rune,
2022-09-16,Ancient Tunnels,Shael Rune,Rune,
2022-09-16,Ancient Tunnels,Ko Rune,Rune,
2022-09-16,Ancient Tunnels,Ort Rune,Rune,
2022-09-16,Ancient Tunnels,Ith Rune,Rune,
2022-09-16,Ancient Tunnels,Highlord's Wrath,Amulet,
2022-09-16,Ancient Tunnels,Trang-Oul's Wing,Cantor Trophy,
2022-09-16,Ancient Tunnels,Steeldriver,Great Maul,
2022-09-17,Ancient Tunnels,Ral Rune,Rune,
2022-09-17,Ancient Tunnels,Isenhart's Parry,Gothic Shield,
2022-09-17,Ancient Tunnels,Isenhart's Case,Breast Plate,
2022-09-17,Ancient Tunnels,Io Rune,Rune,
2022-09-17,Lower Kurast,Ith Rune,Rune,
2022-09-17,Lower Kurast,Ral Rune,Rune,
2022-09-17,Ancient Tunnels,Crainte Vomir,Espandon,
2022-09-17,Ancient Tunnels,Lightsabre,Phase Blade,
2022-09-17,Ancient Tunnels,Eth Rune,Rune,
2022-09-17,Ancient Tunnels,Tal Rune,Rune,
2022-09-17,Ancient Tunnels,Ral Rune,Rune,
2022-09-17,Ancient Tunnels,Buriza-Do Kyanon,Ballista,
2022-09-17,Ancient Tunnels,Eth Rune,Rune,
2022-09-17,Ancient Tunnels,Io Rune,Rune,
2022-09-17,Ancient Tunnels,Stoutnail,Spiked Club,
2022-09-17,Ancient Tunnels,Eth Rune,Rune,
2022-09-17,Ancient Tunnels,Tal Rune,Rune,
2022-09-17,Ancient Tunnels,Ral Rune,Rune,
2022-09-17,Ancient Tunnels,Ort Rune,Rune,
2022-09-17,Lower Kurast,Nef Rune,Rune,
2022-09-17,Ancient Tunnels,Ith Rune,Rune,
2022-09-17,Ancient Tunnels,Ort Rune,Rune,
2022-09-17,Lower Kurast,Thul Rune,Rune,
2022-09-17,Lower Kurast,Ort Rune,Rune,
2022-09-17,Lower Kurast,Eth Rune,Rune,
2022-09-17,Ancient Tunnels,Immortal King's Forge,War Gauntlets,
2022-09-17,Ancient Tunnels,Gravenspine,Bone Wand,
2022-09-17,Lower Kurast,El Rune,Rune,
2022-09-17,Ancient Tunnels,Manald Heal,Ring,
2022-09-17,Ancient Tunnels,Ral Rune,Rune,
2022-09-17,Ancient Tunnels,Nef Rune,Rune,
2022-09-17,Ancient Tunnels,Ko Rune,Rune,
2022-09-17,Lower Kurast,Civerb's Ward,Large Shield,
2022-09-17,Lower Kurast,Ort Rune,Rune,
2022-09-17,Ancient Tunnels,Dol Rune,Rune,
2022-09-17,Ancient Tunnels,Ichorsting,Crossbow,
2022-09-18,Lower Kurast,Tal Rune,Rune,
2022-09-18,Ancient Tunnels,Tancred's Skull,Bone Helm,
2022-09-18,Ancient Tunnels,Thul Rune,Rune,
2022-09-18,Ancient Tunnels,Laying of Hands,Bramble Mitts,
2022-09-18,Lower Kurast,Nef Rune,Rune,
2022-09-18,Ancient Tunnels,Io Rune,Rune,
2022-09-18,Lower Kurast,Lum Rune,Rune,
2022-09-18,Lower Kurast,Tal Rune,Rune,
2022-09-18,Ancient Tunnels,Arcanna's Head,Skull Cap,
2022-09-18,Ancient Tunnels,Hwanin's Justice,Bill,
2022-09-18,Ancient Tunnels,Blacktongue,Bastard Sword,
2022-09-18,Ancient Tunnels,Amn Rune,Rune,
2022-09-18,Ancient Tunnels,Ral Rune,Rune,
2022-09-18,Ancient Tunnels,Vidala's Snare,Amulet,
2022-09-18,Lower Kurast,Eth Rune,Rune,
2022-09-18,Ancient Tunnels,Hellcast,Heavy Crossbow,
2022-09-18,Lower Kurast,Tir Rune,Rune,
2022-09-18,Ancient Tunnels,Sigon's Shelter,Gothic Plate,
2022-09-18,Ancient Tunnels,Dol Rune,Rune,
2022-09-18,Ancient Tunnels,Whitstan's Guard,Round Shield,
2022-09-18,Ancient Tunnels,Islestrike,Twin Axe,
2022-09-18,Ancient Tunnels,Shadow Killer,Battle Cestus,
2022-09-18,Lower Kurast,Amn Rune,Rune,
2022-09-18,Ancient Tunnels,Tal Rune,Rune,
2022-09-18,Ancient Tunnels,Milabrega's Orb,Kite Shield,
2022-09-18,Ancient Tunnels,Ort Rune,Rune,
2022-09-18,Ancient Tunnels,Lum Rune,Rune,
2022-09-18,Ancient Tunnels,Tarnhelm,Skull Cap,
2022-09-18,Ancient Tunnels,Ith Rune,Rune,
2022-09-18,Ancient Tunnels,The Gavel of Pain,Martel de Fer,
2022-09-18,Ancient Tunnels,Thul Rune,Rune,
2022-09-19,Lower Kurast,Ith Rune,Rune,
2022-09-19,Ancient Tunnels,Nef Rune,Rune,
2022-09-19,Ancient Tunnels,Ort Rune,Rune,
2022-09-19,Lower Kurast,Sol Rune,Rune,
2022-09-19,Ancient Tunnels,Chance Guards,Chain Gloves,
2022-09-19,Ancient Tunnels,Bloodfist,Heavy Gloves,
2022-09-19,Ancient Tunnels,The General's Tan Do Li Ga,Flail,
2022-09-19,Ancient Tunnels,Ko Rune,Rune,
2022-09-19,Ancient Tunnels,Tir Rune,Rune,
2022-09-19,Ancient Tunnels,Tal Rune,Rune,
2022-09-19,Ancient Tunnels,Amn Rune,Rune,
2022-09-19,Ancient Tunnels,Tir Rune,Rune,
2022-09-19,Ancient Tunnels,Dol Rune,Rune,
2022-09-19,Ancient Tunnels,Thul Rune,Rune,
2022-09-19,Ancient Tunnels,Ort Rune,Rune,
2022-09-19,Ancient Tunnels,Crow Caw,Tigulated Mail,
2022-09-19,Ancient Tunnels,Heart Carver,Rondel,
2022-09-19,Ancient Tunnels,Hawkmail,Scale Mail,
2022-09-20,Ancient Tunnels,Ort Rune,Rune,
2022-09-20,Ancient Tunnels,Sander's Riprap,Heavy Boots,
2022-09-20,Lower Kurast,Eth Rune,Rune,
2022-09-20,Lower Kurast,Tearhaunch,Greaves,
2022-09-20,Ancient Tunnels,Corpsemourn,Ornate Plate,
2022-09-20,Lower Kurast,Tir Rune,Rune,
2022-09-20,Lower Kurast,Fal Rune,Rune,
2022-09-20,Ancient Tunnels,Rakescar,War Axe,
2022-09-20,Ancient Tunnels,Nef Rune,Rune,
2022-09-20,Lower Kurast,Ort Rune,Rune,
2022-09-20,Lower Kurast,Tal Rune,Rune,
2022-09-20,Ancient Tunnels,Tal Rune,Rune,
2022-09-20,Lower Kurast,Ort Rune,Rune,
2022-09-20,Ancient Tunnels,Tal Rune,Rune,
2022-09-20,Ancient Tunnels,Isenhart's Parry,Gothic Shield,
2022-09-21,Lower Kurast,Amn Rune,Rune,
2022-09-21,Lower Kurast,Amn Rune,Rune,
2022-09-21,Ancient Tunnels,Ort Rune,Rune,
2022-09-21,Ancient Tunnels,Stormstrike,Short Battle Bow,
2022-09-21,Ancient Tunnels,Mal Rune,Rune,
2022-09-21,Ancient Tunnels,Sander's Paragon,Cap,
2022-09-21,Ancient Tunnels,Ral Rune,Rune,
2022-09-21,Lower Kurast,Ort Rune,Rune,
2022-09-21,Ancient Tunnels,Dark Clan Crusher,Cudgel,
2022-09-21,Ancient Tunnels,Demon Machine,Chu-Ko-Nu,
2022-09-21,Ancient Tunnels,Jalal's Mane,Totemic Mask,
2022-09-21,Ancient Tunnels,Lance of Yaggai,Spetum,
2022-09-21,Ancient Tunnels,Ort Rune,Rune,
2022-09-21,Lower Kurast,Ort Rune,Rune,
2022-09-21,Ancient Tunnels,Thul Rune,Rune,
2022-09-21,Lower Kurast,Eld Rune,Rune,
2022-09-21,Ancient Tunnels,Soulflay,Claymore,
2022-09-21,Ancient Tunnels,Thul Rune,Rune,
2022-09-21,Lower Kurast,Lum Rune,Rune,
2022-09-21,Ancient Tunnels,Milabrega's Robe,Ancient Armor,
2022-09-21,Lower Kurast,Sol Rune,Rune,
2022-09-21,Ancient Tunnels,Arctic Horn,Short War Bow,
2022-09-21,Ancient Tunnels,Langer Briser,Arbalest,
2022-09-21,Lower Kurast,Ist Rune,Rune,
2022-09-22,Ancient Tunnels,Ral Rune,Rune,
2022-09-22,Ancient Tunnels,Sol Rune,Rune,
2022-09-22,Ancient Tunnels,The Diggler,Dirk,
2022-09-22,Ancient Tunnels,Sigon's Gage,Gauntlets,
2022-09-22,Lower Kurast,Eth Rune,Rune,
2022-09-22,Ancient Tunnels,Goldwrap,Heavy Belt,
2022-09-22,Lower Kurast,Hel Rune,Rune,
2022-09-22,Ancient Tunnels,Stormeye,War Scepter,
2022-09-22,Ancient Tunnels,Naj's Puzzler,Elder Staff,
2022-09-22,Lower Kurast,Sol Rune,Rune,
2022-09-22,Lower Kurast,Tal Rasha's Horadric Crest,Death Mask,
2022-09-22,Ancient Tunnels,Stoutnail,Spiked Club,
2022-09-22,Ancient Tunnels,Arctic Binding,Light Belt,
2022-09-22,Ancient Tunnels,Sigon's Gage,Gauntlets,
2022-09-22,Lower Kurast,Sol Rune,Rune,
2022-09-23,Ancient Tunnels,El Rune,Rune,
2022-09-23,Lower Kurast,Io Rune,Rune,
2022-09-23,Lower Kurast,Skewer of Krintiz,Sabre,
2022-09-23,Ancient Tunnels,Steeldriver,Great Maul,
2022-09-23,Ancient Tunnels,Io Rune,Rune,
2022-09-23,Ancient Tunnels,Thul Rune,Rune,
2022-09-23,Lower Kurast,Amn Rune,Rune,
2022-09-23,Ancient Tunnels,Ral Rune,Rune,
